Date,Team,Acquired,Relinquished,Notes
1947-08-05, Bombers (BAA), ,Jack Underman, fractured legs (in auto accident) (out indefinitely) (date approximate)
1948-02-15, Bullets (BAA),Harry Jeannette / Buddy Jeannette, , broken rib (DTD) (date approximate)
1949-11-12, Capitols, ,Fred Scolari, fractured right cheekbone (out indefinitely)
1949-12-23, Knicks, ,Vince Boryla, mumps (out ~2 weeks)
1950-01-13, Knicks,Vince Boryla, , returned to lineup (date approximate)
1950-02-02, Knicks, ,Tommy Byrnes, right ankle injury (DTD)
1950-10-25, Knicks, ,Goebel Ritter / Tex Ritter, bruised ligaments in left ankle (DTD)
1950-11-25, Warriors, ,Andy Phillip, lacerated foot (DTD)
1950-12-05, Celtics, ,Andy Duncan, fractured kneecap (out indefinitely)
1952-10-13, Bullets, ,Fred Scolari, fractured nose (out indefinitely)
1953-01-27, Knicks, ,Max Zaslofsky, fractured hand (out indefinitely)
1953-02-02, Bullets, ,Fred Scolari, sprained ankle (out indefinitely)
1953-02-10, Bullets,Fred Scolari, , returned to lineup
1954-09-29, Celtics, ,Jack Nichols, fractured nose (DTD)
1955-01-02, Warriors, ,Paul Arizin, ankle injury (DTD)
1956-12-23, Pistons, ,Larry Foust, undisclosed injury (date approximate)
1957-01-13, Pistons,Larry Foust, , returned to lineup
1957-03-25, Hawks, ,Bob Pettit, fractured wrist (date approximate)
1957-12-07, Pistons, ,Bob Houbregs, hospitalized with back injury (out indefinitely)
1958-03-15, Royals, ,Maurice Stokes," hospitalized with encephalopathy / ""brain fever"" and paralysis"
1960-01-05, Celtics, ,Bill Sharman, sprained Achilles tendon (date approximate)
1960-01-05, Celtics, ,Jim Loscutoff, sore back and legs (out indefinitely) (date approximate)
1960-04-05, Hawks, ,Larry Foust, fractured hand (DTD)
1961-05-02, Knicks, ,Tom Stith, tuberculosis (out indefinitely)
1961-10-23, Hawks, ,Ron Horn, fractured right hand (out indefinitely)
1961-11-11, Hawks, ,Joe Graboski, fractured right foot (out indefinitely)
1961-12-06, Hawks,Ron Horn, , returned to lineup
1962-06-10, Knicks,Tom Stith, , returned to lineup
1963-02-03, Lakers, ,Jerry West, torn hamstring (out indefinitely)
1963-03-05, Knicks, ,Gene Conley, right ankle injury (DTD)
1963-11-10, Knicks, ,Art Heyman, back injury (DTD)
1964-01-26, Lakers, ,Jerry West, fractured thumb (out indefinitely)
1964-07-01, Warriors, ,Al Attles, surgery on right thigh to remove calcium deposits and blood clots (date approximate)
1964-07-01, Warriors, ,Gary Phillips, surgery on ankle (date approximate)
1964-09-17, Warriors, ,McCoy McLemore, broken nose (DTD)
1964-09-17, Warriors, ,Tom Meschery, fractured finger (date approximate)
1964-10-01, Hawks, ,Bob Pettit, knee injury (date approximate)
1964-10-01, Knicks, ,Art Heyman, right knee injury (DTD) (date approximate)
1964-10-05, Warriors, ,Wilt Chamberlain, stomach ailment (DTD)
1964-10-31, Knicks,Art Heyman, , returned to lineup
1964-12-15, Hawks,Bob Pettit, , returned to lineup (date approximate)
1965-01-14, Lakers, ,Jerry West, fractured nose (DTD)
1965-04-01, Lakers, ,Elgin Baylor, injured kneecap (date approximate)
1965-04-02, Lakers, ,Elgin Baylor, surgery on injured kneecap (date approximate)
1966-01-11, Lakers, ,Jerry West, corneal abrasion (DTD)
1966-03-03, Knicks, ,Dick Barnett, shoulder injury (DTD)
1966-09-21, Bulls, ,Nate Bowman, hairline fracture in left ankle (out indefinitely)
1966-09-21, Knicks, ,Tom Stith, left leg injury (suffered in car accident) (out indefinitely)
1966-10-11, Lakers, ,Jerry West, heel injury
1967-03-07, Lakers, ,Jerry West, fractured nose (DTD)
1967-03-17, Lakers, ,Jerry West, sprained ankle (DTD)
1967-03-21, Lakers, ,Jerry West, pulled hamstring (DTD)
1967-03-26, Lakers, ,Jerry West, fractured hand (out indefinitely)
1967-10-03, Lakers, ,Jerry West, fractured hand (out indefinitely)
1967-11-15, Hawks, ,Jay Miller, appendectomy (out indefinitely)
1967-12-01, Americans (ABA), ,Bob McIntyre, torn ligaments in knee (out indefinitely) (date approximate)
1967-12-10, 76ers, ,Larry Costello, foot injury (date approximate)
1968-01-01, Lakers, ,Jerry West, pulled groin (date approximate)
1968-01-25, Lakers, ,Jerry West, fractured nose (DTD)
1968-02-23, Lakers, ,Jerry West, pulled groin (DTD)
1968-04-28, Lakers, ,Jerry West, sprained ankle (DTD)
1968-05-15, Pipers (ABA), ,Charles Vaughn / Chico Vaughn, surgery on leg to remove calcified deposit (out indefinitely) (date approximate)
1968-10-23, Lakers, ,Jerry West, pulled groin (DTD)
1968-11-14, Nets (ABA), ,Levern Tart, fractured right cheekbone (out indefinitely)
1968-12-23, Pipers (ABA), ,Jim Harding, took leave of absence as head coach for medical reasons
1968-12-27, Bucks, ,Dick Cunningham, sprained ankle (DTD)
1969-01-03, Chaparrals (ABA), ,Cliff Hagan, back injury (DTD)
1969-01-04, Lakers, ,Jerry West, pulled groin (DTD)
1969-01-30, Lakers, ,Jerry West, pulled hamstring (DTD)
1969-03-12, Chaparrals (ABA),Cliff Hagan, , returned to lineup
1969-04-01, Knicks, ,Phil Jackson, surgery on back (spinal fusion) (out for season) (date approximate)
1969-05-01, Lakers, ,Jerry West, pulled hamstring (DTD)
1969-10-24, Caps (ABA), ,Rick Barry, surgery on left knee to remove torn lateral cartilage (out indefinitely)
1969-11-01, Lakers, ,Jerry West, pulled groin (DTD) (date approximate)
1969-11-26, Lakers, ,Jerry West, sprained ankle (DTD)
1969-11-27, Pipers (ABA), ,Arvesta Kelly, pulled hamstring (out indefinitely)
1969-11-27, Pipers (ABA), ,Charlie Williams (E.), torn ligament in right knee (out indefinitely)
1969-12-01, Buccaneers (ABA), ,Jimmy Jones / Jimmie Jones, knee injury (out)
1969-12-09, Lakers, ,Jerry West, pulled groin (DTD)
1969-12-19, Bulls, ,Jerry Sloan, groin injury (DTD)
1970-01-04, Bulls, ,Chet Walker, pulled groin (DTD)
1970-01-16, Warriors, ,Nate Thurmond, right knee injury (out for season)
1970-02-01, Lakers, ,Jerry West, pulled groin (DTD) (date approximate)
1970-02-04, Pipers (ABA), ,Charlie Williams (E.), surgery on right knee to remove torn cartilage (out for season)
1970-08-19, Lakers, ,Earnie Killum, dislocated left foot (out indefinitely)
1970-10-01, Lakers, ,Elgin Baylor, torn Achilles tendon (out for season) (date approximate)
1970-11-18, Knicks, ,Willis Reed, sore left knee (DTD)
1971-01-06, Lakers, ,Jerry West, fractured nose (DTD)
1971-01-18, Celtics, ,John Havlicek, charley horse (DTD)
1971-02-21, Pistons, ,Terry Dischinger, left knee injury (out indefinitely)
1971-02-23, Pistons, ,Terry Dischinger, surgery on left knee (out indefinitely)
1971-03-02, Lakers, ,Jerry West, torn MCL in knee (out indefinitely)
1971-09-14, Squires (ABA), ,Mike Barrett, agreed to surgery on injured wrist (out for season)
1971-09-15, Royals, ,Darrall Imhoff, knee injury (out indefinitely)
1971-10-04, Bulls, ,Howard Porter, right eye infection (DTD)
1971-10-08, Cavaliers, ,Austin Carr, fractured foot (out indefinitely) (date approximate)
1971-10-20, Lakers, ,Jerry West, sprained ankle (DTD)
1971-10-21, Knicks, ,Mike Riordan, fractured wrist (out indefinitely)
1971-10-23, Royals, ,Ken Durrett, torn medial cartilage in right knee (out indefinitely)
1971-10-27, Royals, ,Ken Durrett, surgery on right knee to repair torn medial cartilage (out indefinitely) (date approximate)
1971-11-13, Knicks, ,Willis Reed, left knee tendinitis (out indefinitely)
1971-11-29, Cavaliers, ,Austin Carr, sprained ankle (out indefinitely) (date approximate)
1971-12-26, Condors (ABA), ,John Brisker, Achilles tendon injury
1972-01-01, Floridians (ABA), ,Larry Jones, fractured wrist (out indefinitely) (date approximate)
1972-01-07, Royals,Ken Durrett, ," ""activated"""
1972-01-24, Royals, ,Gilbert McGregor / Gil McGregor, broken foot (out indefinitely)
1972-01-25, Condors (ABA),John Brisker, , returned to lineup
1972-01-29, Cavaliers,Austin Carr, , returned to lineup
1972-02-27, Floridians (ABA),Larry Jones, , returned to lineup (date approximate)
1972-03-14, Pros (ABA), ,George Lehmann, torn muscle (out for season) (date approximate)
1972-03-27, Bucks, ,Jon McGlocklin, back injury (out indefinitely)
1972-09-24, 76ers, ,Kevin Loughery, knee injury (DTD)
1972-11-03, Cavaliers, ,Rick Roberson, pulled hamstring (out indefinitely)
1973-01-06, Chaparrals (ABA), ,Harley Swift / Skeeter Swift, surgery on knee (out indefinitely)
1973-02-09, Lakers, ,Jerry West, pulled hamstring (DTD)
1973-02-21, Nets (ABA), ,Brian Taylor, dislocated fingers on right hand (out indefinitely)
1973-03-18, Bulls, ,Clifford Ray, sprained LCL in left knee (DTD)
1973-05-06, Lakers, ,Jerry West, pulled hamstring (DTD)
1973-08-21, 76ers, ,Doug Collins, fractured left foot (out indefinitely)
1973-11-01, Lakers, ,Jerry West, pulled groin (date approximate)
1973-11-02, Cavaliers, ,Dwight Davis, right hand injury (DTD)
1973-11-02, Hawks, ,John Brown (Young), ankle injury (DTD)
1973-11-06, Lakers, ,Elmore Smith, fractured cheekbone (out indefinitely)
1973-12-07, Rockets (ABA), ,Julius Keye, strained cartilage in knee (out indefinitely)
1973-12-11, Knicks, ,Willis Reed, torn cartilage in right knee (surgery) (out indefinitely) (date approximate)
1974-01-09, Lakers, ,Jerry West, pulled groin (DTD)
1974-01-20, Blazers, ,John Johnson (Howard Getty), fractured elbow (out indefinitely)
1974-01-23, Nets (ABA), ,Billy Paultz, sprained ankle (DTD)
1974-02-05, Lakers, ,Jerry West, pulled groin (DTD)
1974-03-09, Warriors, ,Nate Thurmond, sprained arch in foot (out indefinitely)
1974-03-15, Bucks, ,Lucius Allen, torn cartilage in knee (out for season)
1974-03-16, Bucks, ,Lucius Allen, surgery on knee to repair torn cartliage (out for season)
1974-09-12, Nets (ABA), ,Wendell Ladner, surgery on knee (out indefinitely)
1974-10-05, Bucks, ,Kareem Abdul-Jabbar / Lew Alcindor, fractured right hand (out indefinitely)
1974-10-07, Hawks, ,Herm Gilliam, surgery on knee to repair torn cartilage (out indefinitely)
1974-10-30, Spirits (ABA), ,Bernie Fryer, torn thigh muscle (out indefinitely)
1974-11-01, Hawks, ,Lou Hudson, elbow injury (date approximate)
1974-11-21, 76ers, ,Billy Cunningham, sore left knee (DTD)
1974-12-05, Cavaliers, ,Austin Carr, knee injury (surgery) (out indefinitely)
1975-01-18, Sonics,Spencer Haywood, , viral pneumonia (out indefinitely)
1975-01-27, Bulls, ,John Block, hospitalized with back and lung ailments
1975-05-29, Cavaliers, ,Austin Carr, surgery on left knee to remove cartilage damage (out indefinitely)
1975-11-01, Squires (ABA), ,Mack Calvin, partially torn tendon in knee (out at least 1 month) (date approximate)
1975-11-01, Squires (ABA), ,Mike Green, cartilage problem in knee (out at least 1 month) (date approximate)
1975-12-03, Pacers (ABA), ,Dan Roundfield, chipped bone in right wrist (out for season)
1975-12-03, Pacers (ABA), ,Len Elmore, swollen knee (out for season)
1975-12-05, 76ers, ,Billy Cunningham, partially torn ligament (ACL?) in left knee (out for season)
1976-01-15, Pacers (ABA), ,Billy Knight, hand injury (DTD) (date approximate)
1976-05-01, Spurs (ABA), ,James Silas, broken ankle (date approximate)
1976-05-02, Spurs (ABA), ,James Silas, surgery to repair broken ankle (date approximate)
1976-08-20, Bucks, ,Dave Meyers, fractured left knee (out indefinitely)
1976-08-24, Cavaliers, ,Jim Chones, fractured right little toe (DTD)
1976-08-27, Bucks, ,Dave Meyers, surgery on left knee to repair fracture
1976-10-15, Spurs, ,James Silas, injured right knee (date approximate)
1976-11-15, Spurs, ,James Silas, surgery on right knee to remove torn cartilage
1976-12-21, Celtics, ,Jim Ard, elbow infection (DTD)
1977-02-01, 76ers, ,Harvey Catchings, fractured and dislocated right elbow (out for season)
1977-11-23, Pistons,Bob Lanier, , returned to lineup
1977-12-09, Rockets, ,Rudy Tomjanovich, fractured facial bones (out indefinitely)
1978-01-31, Jazz, ,Pete Maravich, sprained ligament in right knee (out indefinitely)
1978-05-05, Sonics, ,Dennis Johnson, dislocated middle finger on right hand (DTD)
1978-10-01, Bucks, ,Dave Meyers, back injury (out for season) (date approximate)
1979-02-15, Kings, ,Tom Burleson, ligament injury in left knee (out indefinitely)
1979-02-20, Jazz, ,Pete Maravich, rehab of right knee injury (out for season)
1979-05-16, Cavaliers, ,John Lambert, sprained left ankle (DTD)
1979-07-01, Blazers, ,Mychal Thompson, fractured left leg (out indefinitely) (date approximate)
1979-09-11, Nuggets, ,Matt Teahan, fractured bone in left foot (out indefinitely)
1979-11-24, Cavaliers, ,John Lambert, sprained right ankle (DTD)
1979-12-26, Pistons, ,Bob Lanier, fractured left hand (out indefinitely)
1980-01-01, Cavaliers, ,Michael Russell / Campy Russell, knee injury (date approximate)
1980-03-05, Warriors, ,Purvis Short, separated right shoulder (out indefinitely)
1980-03-10, Bullets, ,Bob Dandridge, bruised calf muscle (DTD) (date approximate)
1980-03-12, 76ers, ,Doug Collins, torn ACL and cartilage in left knee (out for season)
1980-03-17, 76ers, ,Doug Collins, surgery on left knee to repair torn ACL (out for season)
1980-04-17, Blazers, ,Mychal Thompson, surgery on left leg to remove 3 screws (out indefinitely)
1980-06-28, Blazers, ,Bob Gross, surgery on back to repair ruptured lumbar disc (out indefinitely) (date approximate)
1980-08-05, Hawks, ,Tom Burleson, fractured wrist (out indefinitely)
1980-09-23, Knicks, ,Toby Knight, torn ACL in left knee (out indefinitely)
1980-11-17, Bullets, ,Rick Mahorn, sprained ankle (DTD)
1980-11-18, Sonics, ,Lonnie Shelton, surgery on left wrist to repair fractured bone (out indefinitely) (date approximate)
1980-11-21, Bullets, ,Bob Dandridge, unknown (date approximate)
1980-12-16, Bulls, ,Larry Kenon, back injury (DTD)
1981-02-18, Sonics, ,Paul Westphal, stress fracture in right foot (out for season)
1981-02-22, Bullets, ,Austin Carr, sprained back (DTD)
1981-04-24, Bulls, ,David Greenwood, surgery on right knee to remove torn cartilage (out indefinitely)
1981-09-14, 76ers, ,Doug Collins, torn ACL in right knee (out indefinitely)
1981-09-21, 76ers, ,Doug Collins, surgery to remove torn cartilage in right knee (out indefinitely)
1981-10-07, Hawks, ,Eddie Johnson (Lee), admitted to psychiatric unit of hospital for treatment of depression
1981-10-07, Kings, ,John Lambert, groin injury (DTD)
1981-10-08, Knicks, ,Bill Cartwright, sprained MCL (out 4-6 weeks)
1981-11-15, Bucks, ,Junior Bridgeman, strained knee (DTD) (date approximate)
1981-11-28, Bucks,Junior Bridgeman, , returned to lineup
1981-12-09, Mavericks, ,Mark Aguirre, stress fracture in foot (out indefinitely)
1981-12-18, Bullets, ,Brad Holland, flu (DTD)
1981-12-19, Lakers, ,Mitch Kupchak, torn ACL in knee (out indefinitely)
1982-01-02, Clippers, ,Swen Nater, knee injury (out for season)
1982-01-15, Bulls, ,Ricky Sobers, sprained right ankle (DNP)
1982-01-15, Bulls, ,Ronnie Lester, sore left toe (DNP)
1982-01-17, 76ers, ,Darryl Dawkins, fractured right shin bone (out indefinitely)
1982-02-03, Nets, ,Ray Williams, sprained right ankle (DTD)
1982-02-28, Celtics, ,Larry Bird, surgery on cheekbone to repair fracture (DTD)
1982-08-13, Knicks, ,Michael Russell / Campy Russell, torn ACL in right knee (out indefinitely)
1982-09-14, Kings, ,Kenny Dennard, surgery to remove malignant tumor from stomach (date approximate)
1982-10-16, Lakers, ,Kurt Rambis, sprained right arch (out indefinitely)
1982-11-02, Mavericks, ,Corny Thompson, surgery on right elbow to remove bone chips
1982-11-30, Sonics, ,David Thompson (O'Neil), fluid on knee (out ~1 week)
1982-12-05, Bucks, ,Steve Mix, sprained right ankle (DTD)
1982-12-07, Jazz, ,Darrell Griffith, sprained ankle (DTD)
1982-12-09, Bulls, ,Quintin Dailey, team granted player's request for temporary leave of absence to seek psychiatric help
1982-12-15, Bucks, ,Bob Lanier, arthroscopic surgery on right knee to remove fragments (out 4-5 weeks)
1982-12-15, Celtics, ,Robert Parish, sore left ankle (DTD)
1982-12-17, Jazz, ,Adrian Dantley, torn ligaments in right wrist (out for season)
1982-12-20, 76ers, ,Andrew Toney, shoulder inury (DTD)
1982-12-20, Bulls,Quintin Dailey, , player returned to team after temporary leave of absence to seek psychiatric help
1982-12-27, Bucks, ,Harvey Catchings, sprained left wrist (DTD)
1982-12-29, Pistons, ,Cliff Levingston, broken left hand (out indefinitely)
1983-01-01, Knicks, ,Sylvester Williams / Sly Williams, arthroscopic surgery on left knee to evaluate bruised cartilage
1983-01-03, Nets, ,Albert King, sprained right knee (DTD)
1983-01-06, Jazz, ,Adrian Dantley, surgery on right wrist to repair torn ligaments (out for season) (date approximate)
1983-01-10, 76ers, ,Julius Erving," bruised right hand, knee injury, sore back (DTD)"
1983-01-10, Warriors, ,Micheal Ray Richardson, sprained ankle (DTD)
1983-01-10, Warriors, ,Sam Williams, sprained ankle (DTD)
1983-01-15, Hawks, ,George Johnson (Thomas), surgery on knee (out indefinitely)
1983-02-07, Pistons, ,Kent Benson, sprained left ankle (DTD)
1983-02-14, Clippers, ,Jerome Whitehead, arthroscopic surgery on right knee (out for season)
1983-02-19, Lakers, ,Bob McAdoo, sprained right foot (DTD)
1983-02-23, Nets, ,Otis Birdsong, stress fracture in pelvis (out indefinitely)
1983-02-26, 76ers, ,Julius Erving, scratched cornea in right eye (left game)
1983-03-01, Bulls, ,Orlando Woolridge, torn ligament in right knee (out for season)
1983-03-01, Bulls, ,Ronnie Lester, fractured right kneecap (out for season)
1983-03-01, Clippers, ,Bill Walton, lack of fluid in right ankle (DNP)
1983-03-01, Warriors, ,Larry Smith, nerve inflammation in right forearm (out for season)
1983-03-08, Lakers, ,Bob McAdoo, surgery on right toe (out indefinitely) (date approximate)
1983-03-14, 76ers, ,Julius Erving, sprained wrist (DTD)
1983-03-14, Pistons, ,Kent Benson, arthroscopic surgery on left ankle (out for season)
1983-04-01, Jazz, ,Ben Poquette, fractured finger on left hand (out for season)
1983-04-04, Suns, ,Dennis Johnson, sprained ankle (out 1-2 games)
1983-04-05, Clippers, ,Terry Cummings, heart condition (out indefinitely)
1983-04-10, 76ers, ,Moses Malone, right knee inflammation (DTD) (date approximate)
1983-04-21, 76ers, ,Moses Malone, left knee inflammation (DTD)
1983-05-13, Knicks, ,Ed Sherod, surgery on right knee to remove cartilage
1983-06-02, Bucks, ,Dave Cowens, surgery on right knee to repair torn tendon
1983-07-06, Bucks, ,Bob Lanier, arthroscopic surgery on left knee to remove fragments
1983-08-11, Cavaliers, ,John Bagley, surgery on knee to remove torn cartilage (out indefinitely)
1983-08-31, Rockets, ,Ralph Sampson, swollen/strained left foot (DTD)
1983-10-03, Lakers, ,Kareem Abdul-Jabbar / Lew Alcindor, viral hepatisis (DTD)
1983-10-10, Lakers,Kareem Abdul-Jabbar / Lew Alcindor, , returned to lineup
1983-10-12, Sonics, ,Tom Chambers, broken right hand (DTD)
1983-10-19, Knicks, ,Hubie Brown, head coach hospitalized with chest pains
1983-10-30, Nets, ,Clarence Walker / Foots Walker, foot injury (DNP)
1983-11-15, Suns, ,James Edwards, right hand injury (out indefinitely) (date approximate)
1983-11-18, 76ers, ,Bobby Jones (C.), pinched nerve in left leg (DTD)
1983-11-24, Suns, ,Rick Robey, right knee inflammation (DTD)
1983-12-02, Mavericks, ,Jim Spanarkel, fractured right wrist (out indefinitely)
1983-12-24, 76ers, ,Moses Malone, right ankle injury (DTD) (date approximate)
1984-01-05, Bucks, ,Nate Archibald, placed on IL with pulled right hamstring
1984-01-06, 76ers, ,Julius Erving, bruised forearm (DTD)
1984-01-06, Suns, ,Maurice Lucas, strained left knee (DTD)
1984-01-20, Bulls, ,Rod Higgins, head injury (left game)
1984-01-21, Bulls, ,Rod Higgins, consussion (DTD)
1984-01-23, 76ers, ,Leo Rautins, stress fracture in left foot (out indefinitely)
1984-02-01, Suns, ,Maurice Lucas, strained calf (DTD)
1984-02-02, 76ers, ,Clemon Johnson, sprained ankle (DTD)
1984-02-04, Clippers, ,Michael Brooks, torn ACL in right knee (out for season)
